年份,生源地,科类,批次,院校名称,专业名称,专业备注,最低分,最低位次,最高分,平均分
2023,上海,综合,专科批,上海现代化工职业学院,化工技术类,分析检验技术（办学点：金山区龙胜路1097号）,135,5691.0,0,181
2023,上海,综合,专科批,上海工商外国语职业学院,法律实务类,法律事务,135,5691.0,0,176
2023,上海,综合,专科批,上海思博职业技术学院,体育类,健身指导与管理,135,5691.0,0,160
2023,上海,综合,专科批,石家庄铁路职业技术学院,铁道运输类,铁道供电技术（四水厂路校区）,135,5691.0,0,161
2023,上海,综合,专科批,上海工商职业技术学院,航空运输类,空中乘务（青浦校区）,135,5691.0,0,171
2023,上海,综合,专科批,上海闵行职业技术学院,建筑设备类,建筑智能化工程技术（办学点：闵行区元江路4080号）,142,5602.0,0,171
2023,上海,综合,专科批,上海思博职业技术学院,电子商务类,电子商务,143,5584.0,0,174
2023,上海,综合,专科批,上海工商外国语职业学院,旅游类,会展策划与管理（中外合作办学）（中澳合作）（中外合作办学）,144,5570.0,0,146
2023,上海,综合,专科批,四川工程职业技术大学,电子商务类,电子商务,145,5557.0,145,145
2023,上海,综合,专科批,武汉交通职业学院,旅游类,酒店管理与数字化运营,146,5540.0,0,146
2023,上海,综合,专科批,上海建设管理职业技术学院,建筑设计类,风景园林设计（办学点：总校区）,147,5524.0,0,173
2023,上海,综合,专科批,上海工商职业技术学院,护理类,护理（青浦校区）,147,5524.0,0,188
2023,上海,综合,专科批,上海工商职业技术学院,自动化类,工业机器人技术（嘉定校区）,148,5511.0,0,168
2023,上海,综合,专科批,上海旅游高等专科学校,广播影视类,全媒体广告策划与营销,148,5511.0,0,207
2023,上海,综合,专科批,上海工商外国语职业学院,财务会计类,大数据与会计,149,5493.0,0,198
2023,上海,综合,专科批,上海南湖职业技术学院,电子信息类,汽车智能技术,149,5493.0,0,192
2023,上海,综合,专科批,上海现代化工职业学院,机械设计制造类,数字化设计与制造技术（办学点：金山区龙胜路1097号）,150,5480.0,0,203
2023,上海,综合,专科批,日照职业技术学院,计算机类,软件技术,150,5480.0,0,176
2023,上海,综合,专科批,上海建设管理职业技术学院,土建施工类,装配式建筑工程技术（办学点：总校区）,151,5461.0,0,166
2023,上海,综合,专科批,上海工商职业技术学院,资源勘查类,宝玉石鉴定与加工（嘉定校区）,151,5461.0,0,151
2023,上海,综合,专科批,上饶幼儿师范高等专科学校,教育类,学前教育,152,5442.0,0,152
2023,上海,综合,专科批,上海工商职业技术学院,经济贸易类,国际商务（跨境贸易方向）（青浦校区）,152,5442.0,0,172
2023,上海,综合,专科批,上海思博职业技术学院,公共服务类,智慧健康养老服务与管理,153,5416.0,0,192
2023,上海,综合,专科批,湖南铁道职业技术学院,铁道运输类,动车组检修技术（男生身高170cm）（含以上，女生身高163cm）（含以上）,155,5382.0,0,193
2023,上海,综合,专科批,上海济光职业技术学院,建设工程管理类,工程造价（宝山校区）,155,5382.0,0,173
2023,上海,综合,专科批,石家庄铁路职业技术学院,自动化类,电气自动化技术（四水厂路校区）,156,5361.0,0,189
2023,上海,综合,专科批,上海现代化工职业学院,自动化类,机电一体化技术（办学点：金山区龙胜路1097号）,156,5361.0,0,187
