uid,rank,school_major,est_score
u_10,2,上海工商外国语职业学院_教育类,2.326
u_10,3,上饶幼儿师范高等专科学校_教育类,2.326
u_10,4,上海思博职业技术学院_教育类,2.325
u_10,5,上海工艺美术职业学院_教育类,2.322
u_10,6,上海济光职业技术学院_教育类,2.305
u_10,7,上海震旦职业学院_教育类,2.291
u_10,8,江西司法警官职业学院_法律执行类,1.96
u_10,9,上海工商外国语职业学院_法律实务类,1.895
u_10,10,中南民族大学_外国语言文学类,1.474
u_11,1,上海工商职业技术学院_教育类,2.271
u_11,2,上海工艺美术职业学院_教育类,2.267
u_11,3,上海思博职业技术学院_教育类,2.187
u_11,4,上海济光职业技术学院_教育类,2.178
u_11,5,上海工商外国语职业学院_教育类,2.169
u_11,6,上海震旦职业学院_教育类,2.165
u_11,7,上饶幼儿师范高等专科学校_教育类,2.141
u_11,8,江西司法警官职业学院_法律执行类,1.849
u_11,9,上海工商外国语职业学院_法律实务类,1.777
u_11,10,中南民族大学_外国语言文学类,1.519
u_12,1,上海思博职业技术学院_语言类,2.435
u_12,2,上海济光职业技术学院_建筑设计类,2.432
u_12,3,重庆城市管理职业学院_公共事业类,2.43
u_12,4,上海工商外国语职业学院_机械设计制造类,2.426
u_12,5,上海工商外国语职业学院_广播影视类,2.423
u_12,6,上海旅游高等专科学校_语言类,2.416
u_12,7,上海震旦职业学院_广播影视类,2.416
u_12,8,上海工商职业技术学院_航空运输类,2.415
u_12,9,上海建设管理职业技术学院_房地产类,2.414
u_12,10,天津城市建设管理职业技术学院_汽车制造类,2.413
u_13,1,上饶幼儿师范高等专科学校_教育类,2.696
u_13,2,上海思博职业技术学院_教育类,2.683
u_13,3,上海工商外国语职业学院_教育类,2.677
u_13,4,上海工商职业技术学院_教育类,2.667
u_13,5,上海工艺美术职业学院_教育类,2.653
u_13,6,上海济光职业技术学院_教育类,2.638
u_13,7,上海震旦职业学院_教育类,2.616
u_13,8,江西司法警官职业学院_法律执行类,2.234
u_13,9,上海工商外国语职业学院_法律实务类,2.155
u_13,10,贵州大学_外国语言文学类,1.655
u_14,1,上海工商职业技术学院_教育类,2.339
u_14,2,上海工商外国语职业学院_教育类,2.325
u_14,3,上饶幼儿师范高等专科学校_教育类,2.324
u_14,4,上海思博职业技术学院_教育类,2.323
u_14,5,上海工艺美术职业学院_教育类,2.32
u_14,6,上海济光职业技术学院_教育类,2.304
u_14,7,上海震旦职业学院_教育类,2.289
u_14,8,江西司法警官职业学院_法律执行类,1.958
u_14,9,上海工商外国语职业学院_法律实务类,1.894
u_14,10,中南民族大学_外国语言文学类,1.473
u_15,1,上海工商职业技术学院_教育类,2.339
u_15,2,上海工商外国语职业学院_教育类,2.324
u_15,3,上饶幼儿师范高等专科学校_教育类,2.323
u_15,4,上海思博职业技术学院_教育类,2.323
u_15,5,上海工艺美术职业学院_教育类,2.319
u_15,6,上海济光职业技术学院_教育类,2.303
u_15,7,上海震旦职业学院_教育类,2.289
u_15,8,江西司法警官职业学院_法律执行类,1.958
u_15,9,上海工商外国语职业学院_法律实务类,1.894
u_15,10,中南民族大学_外国语言文学类,1.473
u_16,1,上海思博职业技术学院_语言类,2.436
u_16,2,上海济光职业技术学院_建筑设计类,2.434
u_16,3,重庆城市管理职业学院_公共事业类,2.432
u_16,4,上海工商外国语职业学院_机械设计制造类,2.427
u_16,5,上海工商外国语职业学院_广播影视类,2.425
u_16,6,上海旅游高等专科学校_语言类,2.417
u_16,7,上海震旦职业学院_广播影视类,2.417
u_16,8,上海工商职业技术学院_航空运输类,2.416
u_16,9,上海建设管理职业技术学院_房地产类,2.415
u_16,10,天津城市建设管理职业技术学院_汽车制造类,2.415
u_17,1,上饶幼儿师范高等专科学校_教育类,2.695
u_17,2,上海思博职业技术学院_教育类,2.682
u_17,3,上海工商外国语职业学院_教育类,2.676
u_17,4,上海工商职业技术学院_教育类,2.666
u_17,5,上海工艺美术职业学院_教育类,2.652
u_17,6,上海济光职业技术学院_教育类,2.636
u_17,7,上海震旦职业学院_教育类,2.615
u_17,8,江西司法警官职业学院_法律执行类,2.233
u_17,9,上海工商外国语职业学院_法律实务类,2.154
u_17,10,贵州大学_外国语言文学类,1.655
u_18,1,上海思博职业技术学院_语言类,2.437
u_18,2,上海济光职业技术学院_建筑设计类,2.434
u_18,3,重庆城市管理职业学院_公共事业类,2.432
u_18,4,上海工商外国语职业学院_机械设计制造类,2.427
u_18,5,上海工商外国语职业学院_广播影视类,2.425
u_18,6,上海震旦职业学院_广播影视类,2.417
u_18,7,上海旅游高等专科学校_语言类,2.417
u_18,8,上海工商职业技术学院_航空运输类,2.416
u_18,9,上海建设管理职业技术学院_房地产类,2.415
u_18,10,天津城市建设管理职业技术学院_汽车制造类,2.415
u_19,1,上饶幼儿师范高等专科学校_教育类,2.695
u_19,2,上海思博职业技术学院_教育类,2.682
u_19,3,上海工商外国语职业学院_教育类,2.676
u_19,4,上海工商职业技术学院_教育类,2.666
u_19,5,上海工艺美术职业学院_教育类,2.652
u_19,6,上海济光职业技术学院_教育类,2.637
u_19,7,上海震旦职业学院_教育类,2.615
u_19,8,江西司法警官职业学院_法律执行类,2.233
u_19,9,上海工商外国语职业学院_法律实务类,2.154
u_19,10,贵州大学_外国语言文学类,1.655
