MBTI,source,专业名称,专业备注,人数count,分数score,平均分,年份,批次,支持度support,最低位次,最低分,最高分,生源地,科类,累计人数cum,组合/subject_combo,院校名称
,major_line_2023,工科试验班类,工科试验班类（船舶海洋与建筑工程学院。海洋工程类专业。含船舶与海洋工程数学与应用数学双学士学位项目。含交大伯明翰2+2双学位项目）（土木工程、交大巴黎高科4+2.5本硕联合培养项目）（土木工程以及与剑桥大学、帝国理工大学、加州大学、斯坦福大学、密西根大学、约翰霍普金斯大学、挪威科技大学、代尔夫特理工理工大学、慕尼黑工大、新南威尔士大学、新加坡国立大学等学期交换项目）,,,586,2023,本科批,,2393,580,0,上海,综合,,,上海交通大学
,major_line_2023,自然科学试验班,自然科学试验班（含化学、化学工程与工艺、环境科学与工程、生物技术、生物工程、海洋科学）（化学、生物与地质海洋、药学专业。含化学材料科学与工程双学士学位项目）,,,586,2023,本科批,,2393,580,0,上海,综合,,,上海交通大学
,major_line_2023,自然科学试验班,自然科学试验班（含化学、化学工程与工艺、环境科学与工程、生物技术、生物工程、海洋科学）（化学、生物与地质海洋、药学专业。含化学材料科学与工程双学士学位项目）,,,586,2023,本科批,,2393,580,0,上海,综合,,,上海交通大学
,major_line_2023,工科试验班类,工科试验班类（材料科学与工程学院。材料科学与工程专业。含材料科学与工程应用物理学双学士学位项目。含材料科学与工程专业）（徐祖耀荣誉班。与哈佛大学、牛津大学、西北大学等近20所海外一流高校以学期交换或3+1+X模式联合人才培养）,,,588,2023,本科批,,2393,580,0,上海,综合,,,上海交通大学
,major_line_2023,工科试验班类,工科试验班类（海洋学院。海洋科学）（物理海洋与观测技术专业）,,,587,2023,本科批,,2393,580,0,上海,综合,,,上海交通大学
,major_line_2023,工科试验班类,工科试验班类（船舶海洋与建筑工程学院。海洋工程类专业。含船舶与海洋工程数学与应用数学双学士学位项目。含交大伯明翰2+2双学位项目）（土木工程、交大巴黎高科4+2.5本硕联合培养项目）（土木工程以及与剑桥大学、帝国理工大学、加州大学、斯坦福大学、密西根大学、约翰霍普金斯大学、挪威科技大学、代尔夫特理工理工大学、慕尼黑工大、新南威尔士大学、新加坡国立大学等学期交换项目）,,,586,2023,本科批,,2393,580,0,上海,综合,,,上海交通大学
,major_line_2023,数学类,数学类（拔尖学生培养基地。含数学与应用数学、信息与计算科学、数据科学与大数据技术。含“数学英才班”）（全校选拔；含牛津大学交流项目）,,,606,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,工科试验班,工科试验班（新工科本研贯通。含智能科学与技术、微电子科学与工程、人工智能等专业。含与澳大利亚国立大学、莫纳什大学等校“2+2”双学位项目，与加拿大多伦多大学、美国佛罗里达大学等“3+1+1”本硕连读项目）,,,603,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,计算机类,计算机科学与技术（拔尖人才实验班，本研贯通）,,,601,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
,major_line_2023,计算机类,软件工程（国家示范性软件学院。含与美国芝加哥大学、英国格拉斯哥大学等校免学费交流项目；含与澳大利亚国立大学“2+2”双学位项目。四年总学费31000元）,,,598,2023,本科批,,2393,580,0,上海,综合,,,复旦大学
