video_id,variant,quality_level,quality_score,visible_rate,max_missing_gap,interp_rate,rejected_static_lock,rejected_jump,frames,raw_visible,final_visible,interpolated,rejected_roi,inpaintnet_enabled,reason,report_path
1_00_01,,Green,98.67,0.9956,0,0.0536,0,3,225,216,224,12,0,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/output/1_00_01/1_00_01_ball_refine_report.json
pro_match17_1_02_02,,Green,97.9,0.8737,30,0.0738,0,4,372,313,325,24,7,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/output/pro_match17_1_02_02/pro_match17_1_02_02_ball_refine_report.json
pro_match17_1_15_13,,Green,98.77,0.9981,0,0.0434,0,14,531,522,530,23,0,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/output/pro_match17_1_15_13/pro_match17_1_15_13_ball_refine_report.json
pro_match17_2_01_01,,Green,97.92,0.8983,36,0.0839,0,5,531,446,477,40,3,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/output/pro_match17_2_01_01/pro_match17_2_01_01_ball_refine_report.json
pro_match17_2_08_05,,Green,98.02,0.9981,0,0.0741,15,2,527,505,526,39,0,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/output/pro_match17_2_08_05/pro_match17_2_08_05_ball_refine_report.json
pro_match17_2_15_11,,Green,98.21,0.9553,20,0.0512,20,10,470,457,449,23,0,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/output/pro_match17_2_15_11/pro_match17_2_15_11_ball_refine_report.json
pro_match17_2_18_11,,Green,98.29,0.9521,23,0.0461,23,6,501,488,477,22,3,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/output/pro_match17_2_18_11/pro_match17_2_18_11_ball_refine_report.json
pro_match19_1_01_01,,Green,98.51,0.813,40,0.0321,17,1,460,388,374,12,8,False,pass,/Users/davidfang/PyCharmMiscProject/minicondapythonProject1/计算机视觉大作业/output/pro_match19_1_01_01/pro_match19_1_01_01_ball_refine_report.json
