uid,combo,mbti,rank,院校名称,专业名称,最低分,Predicted_MBTI,est_score
u_5,化学+地理+生物,ISFJ,1,天津医学高等专科学校,康复治疗类,242,ISFJ,4.00000000000004
u_5,化学+地理+生物,ISFJ,2,湖北中医药高等专科学校,医学技术类,261,ISFJ,4.00000000000004
u_5,化学+地理+生物,ISFJ,3,上海建设管理职业技术学院,林业类,164,ISFJ,4.00000000000004
u_5,化学+地理+生物,ISFJ,4,上海农林职业技术学院,畜牧业类,242,ISFJ,4.00000000000004
u_5,化学+地理+生物,ISFJ,5,江苏卫生健康职业学院,康复治疗类,242,ISFJ,4.00000000000004
u_5,化学+地理+生物,ISFJ,6,合肥职业技术学院,医学技术类,191,ISFJ,4.00000000000004
u_5,化学+地理+生物,ISFJ,7,天津医学高等专科学校,医学技术类,241,ISFJ,4.00000000000004
u_5,化学+地理+生物,ISFJ,8,山东畜牧兽医职业学院,畜牧业类,205,ISFJ,4.00000000000004
u_5,化学+地理+生物,ISFJ,9,安徽医学高等专科学校,医学技术类,234,ISFJ,4.00000000000004
u_5,化学+地理+生物,ISFJ,10,上海农林职业技术学院,农业类,233,ISFJ,4.00000000000004
u_6,化学+历史+物理,ISTJ,1,上海工商外国语职业学院,机械设计制造类,100,ISTJ,4.000000000000273
u_6,化学+历史+物理,ISTJ,2,上海健康医学院,药品与医疗器械类,258,ISTJ,4.000000000000018
u_6,化学+历史+物理,ISTJ,3,湖北中医药高等专科学校,药品与医疗器械类,246,ISTJ,4.000000000000018
u_6,化学+历史+物理,ISTJ,4,上海第二工业大学,机械设计制造类,259,ISTJ,4.000000000000018
u_6,化学+历史+物理,ISTJ,5,上海行健职业学院,道路运输类,193,ISTJ,4.000000000000018
u_6,化学+历史+物理,ISTJ,6,华东交通大学,铁道运输类,241,ISTJ,4.000000000000018
u_6,化学+历史+物理,ISTJ,7,华东交通大学,道路运输类,246,ISTJ,4.000000000000018
u_6,化学+历史+物理,ISTJ,8,上海电子信息职业技术学院,安全类,245,ISTJ,4.000000000000018
u_6,化学+历史+物理,ISTJ,9,湖南高速铁路职业技术学院,铁道运输类,173,ISTJ,4.000000000000018
u_6,化学+历史+物理,ISTJ,10,上海工商职业技术学院,道路运输类,187,ISTJ,4.000000000000018
u_7,化学+历史+政治,ENFP,1,上海旅游高等专科学校,文化服务类,114,ENFP,4.000000000000033
u_7,化学+历史+政治,ENFP,2,上海工艺美术职业学院,文化服务类,238,ENFP,4.000000000000033
u_7,化学+历史+政治,ENFP,3,上海出版印刷高等专科学校,文化服务类,198,ENFP,4.000000000000033
u_7,化学+历史+政治,ENFP,4,上海城建职业学院,文化服务类,252,ENFP,4.000000000000033
u_7,化学+历史+政治,ENFP,5,上海工商外国语职业学院,法律实务类,135,ENTJ,2.5000000000000524
u_7,化学+历史+政治,ENFP,6,江西司法警官职业学院,法律执行类,165,ENTJ,2.5000000000000524
u_7,化学+历史+政治,ENFP,7,上海工商职业技术学院,教育类,130,ENFJ,2.5000000000000338
u_7,化学+历史+政治,ENFP,8,上饶幼儿师范高等专科学校,教育类,152,ENFJ,2.5000000000000338
u_7,化学+历史+政治,ENFP,9,上海思博职业技术学院,教育类,121,ENFJ,2.5000000000000338
u_7,化学+历史+政治,ENFP,10,上海工商外国语职业学院,教育类,126,ENFJ,2.5000000000000338
u_8,政治+物理+生物,ENTP,1,上海工商外国语职业学院,法律实务类,135,ENTJ,2.500000000000055
u_8,政治+物理+生物,ENTP,2,江西司法警官职业学院,法律执行类,165,ENTJ,2.500000000000055
u_8,政治+物理+生物,ENTP,3,上海旅游高等专科学校,文化服务类,114,ENFP,2.5000000000000346
u_8,政治+物理+生物,ENTP,4,上海工艺美术职业学院,文化服务类,238,ENFP,2.5000000000000346
u_8,政治+物理+生物,ENTP,5,上海城建职业学院,文化服务类,252,ENFP,2.5000000000000346
u_8,政治+物理+生物,ENTP,6,上海出版印刷高等专科学校,文化服务类,198,ENFP,2.5000000000000346
u_8,政治+物理+生物,ENTP,7,上海震旦职业学院,教育类,107,ENFJ,2.500000000000034
u_8,政治+物理+生物,ENTP,8,上海工艺美术职业学院,教育类,239,ENFJ,2.5000000000000333
u_8,政治+物理+生物,ENTP,9,重庆城市管理职业学院,公共事业类,120,ENFJ,2.5000000000000333
u_8,政治+物理+生物,ENTP,10,上海工商职业技术学院,教育类,130,ENFJ,2.5000000000000333
u_9,化学+地理+政治,ENTP,1,上海工商外国语职业学院,法律实务类,135,ENTJ,2.500000000000055
u_9,化学+地理+政治,ENTP,2,江西司法警官职业学院,法律执行类,165,ENTJ,2.500000000000055
u_9,化学+地理+政治,ENTP,3,上海旅游高等专科学校,文化服务类,114,ENFP,2.5000000000000346
u_9,化学+地理+政治,ENTP,4,上海工艺美术职业学院,文化服务类,238,ENFP,2.5000000000000346
u_9,化学+地理+政治,ENTP,5,上海城建职业学院,文化服务类,252,ENFP,2.5000000000000346
u_9,化学+地理+政治,ENTP,6,上海出版印刷高等专科学校,文化服务类,198,ENFP,2.5000000000000346
u_9,化学+地理+政治,ENTP,7,上海震旦职业学院,教育类,107,ENFJ,2.500000000000034
u_9,化学+地理+政治,ENTP,8,上海工艺美术职业学院,教育类,239,ENFJ,2.5000000000000333
u_9,化学+地理+政治,ENTP,9,重庆城市管理职业学院,公共事业类,120,ENFJ,2.5000000000000333
u_9,化学+地理+政治,ENTP,10,上海工商职业技术学院,教育类,130,ENFJ,2.5000000000000333
u_10,历史+物理+生物,ENTP,1,上海工商外国语职业学院,法律实务类,135,ENTJ,2.500000000000055
u_10,历史+物理+生物,ENTP,2,江西司法警官职业学院,法律执行类,165,ENTJ,2.500000000000055
u_10,历史+物理+生物,ENTP,3,上海旅游高等专科学校,文化服务类,114,ENFP,2.5000000000000346
u_10,历史+物理+生物,ENTP,4,上海工艺美术职业学院,文化服务类,238,ENFP,2.5000000000000346
u_10,历史+物理+生物,ENTP,5,上海城建职业学院,文化服务类,252,ENFP,2.5000000000000346
u_10,历史+物理+生物,ENTP,6,上海出版印刷高等专科学校,文化服务类,198,ENFP,2.5000000000000346
u_10,历史+物理+生物,ENTP,7,上海震旦职业学院,教育类,107,ENFJ,2.500000000000034
u_10,历史+物理+生物,ENTP,8,上海工艺美术职业学院,教育类,239,ENFJ,2.5000000000000333
u_10,历史+物理+生物,ENTP,9,重庆城市管理职业学院,公共事业类,120,ENFJ,2.5000000000000333
u_10,历史+物理+生物,ENTP,10,上海工商职业技术学院,教育类,130,ENFJ,2.5000000000000333
u_11,化学+历史+地理,ESFJ,1,上海思博职业技术学院,护理类,101,ESFJ,4.000000000000523
u_11,化学+历史+地理,ESFJ,2,上海工商外国语职业学院,体育类,101,ESFJ,4.000000000000161
u_11,化学+历史+地理,ESFJ,3,石家庄医学高等专科学校,临床医学类,218,ESFJ,4.000000000000052
u_11,化学+历史+地理,ESFJ,4,上海邦德职业技术学院,护理类,214,ESFJ,4.000000000000052
u_11,化学+历史+地理,ESFJ,5,上海出版印刷高等专科学校,体育类,199,ESFJ,4.000000000000052
u_11,化学+历史+地理,ESFJ,6,上海思博职业技术学院,公共服务类,153,ESFJ,4.000000000000052
u_11,化学+历史+地理,ESFJ,7,上海思博职业技术学院,体育类,135,ESFJ,4.000000000000052
u_11,化学+历史+地理,ESFJ,8,上海闵行职业技术学院,体育类,134,ESFJ,4.000000000000052
u_11,化学+历史+地理,ESFJ,9,上海城建职业学院,护理类,257,ESFJ,4.000000000000052
u_11,化学+历史+地理,ESFJ,10,上海中侨职业技术大学,护理类,199,ESFJ,4.000000000000052
u_12,地理+物理+生物,ISTP,1,上海工商外国语职业学院,机械设计制造类,100,ISTJ,2.5000000000002074
u_12,地理+物理+生物,ISTP,2,江苏卫生健康职业学院,康复治疗类,242,ISFJ,2.500000000000045
u_12,地理+物理+生物,ISTP,3,湖北中医药高等专科学校,医学技术类,261,ISFJ,2.500000000000045
u_12,地理+物理+生物,ISTP,4,合肥职业技术学院,医学技术类,191,ISFJ,2.500000000000045
u_12,地理+物理+生物,ISTP,5,上海农林职业技术学院,农业类,233,ISFJ,2.500000000000045
